EC Number,Galaxy107-[Prokka on data 96_ tbl].txt,Galaxy108-[Prokka on data 97_ tbl].txt,Galaxy126-[Prokka on data 115_ tbl].txt,Galaxy131-[Prokka on data 120_ tbl].txt,Galaxy146-[Prokka on data 135_ tbl].txt,Galaxy157-[Prokka on data 146_ tbl].txt,Galaxy172-[Prokka on data 161_ tbl].txt,Galaxy177-[Prokka on data 166_ tbl].txt,Galaxy18-[Prokka on data 7_ tbl].txt,Galaxy197-[Prokka on data 186_ tbl].txt,Galaxy198-[Prokka on data 187_ tbl].txt,Galaxy201-[Prokka on data 190_ tbl].txt,Galaxy24-[Prokka on data 13_ tbl].txt,Galaxy241-[Prokka on data 230_ tbl].txt,Galaxy261-[Prokka on data 254_ tbl].txt,Galaxy28-[Prokka on data 17_ tbl].txt,Galaxy281-[Prokka on data 270_ tbl].txt,Galaxy289-[Prokka on data 278_ tbl].txt,Galaxy301-[Prokka on data 290_ tbl].txt,Galaxy309-[Prokka on data 298_ tbl].txt,Galaxy321-[Prokka on data 310_ tbl].txt,Galaxy345-[Prokka on data 334_ tbl].txt,Galaxy361-[Prokka on data 350_ tbl].txt,Galaxy393-[Prokka on data 382_ tbl].txt,Galaxy405-[Prokka on data 394_ tbl].txt,Galaxy417-[Prokka on data 406_ tbl].txt,Galaxy425-[Prokka on data 414_ tbl].txt,Galaxy44-[Prokka on data 33_ tbl].txt,Galaxy445-[Prokka on data 434_ tbl].txt,Galaxy465-[Prokka on data 454_ tbl].txt,Galaxy485-[Prokka on data 474_ tbl].txt,Galaxy505-[Prokka on data 494_ tbl].txt,Galaxy525-[Prokka on data 514_ tbl].txt,Galaxy53-[Prokka on data 42_ tbl].txt,Galaxy545-[Prokka on data 534_ tbl].txt,Galaxy565-[Prokka on data 554_ tbl].txt,Galaxy585-[Prokka on data 574_ tbl].txt,Galaxy605-[Prokka on data 594_ tbl].txt,Galaxy62-[Prokka on data 51_ tbl].txt,Galaxy645-[Prokka on data 634_ tbl].txt,Galaxy669-[Prokka on data 658_ tbl].txt,Galaxy73-[Prokka on data 62_ tbl].txt,Galaxy86-[Prokka on data 75_ tbl].txt,Galaxy87-[Prokka on data 76_ tbl].txt
1.1.1.40,0.0,0.777778,0.0,0.0,1.98781,1.702436,1.03929,2.6659319999999997,0.879121,1.6937470000000001,0.0,0.0,0.0,1.780538,0.0,0.925676,0.0,1.6505489999999998,0.0,2.21163,1.8403969999999998,0.66129,0.958955,0.0,0.894389,1.757399,0.875661,0.910596,0.0,2.0876289999999997,4.366327,0.942857,0.766423,0.0,0.837931,0.867284,1.95282,1.73636,0.0,1.35273,1.9060289999999998,1.0212,0.0,1.720145
3.6.1.27,2.429171,2.2141599999999997,3.581665,1.804291,2.51984,3.455127,1.7168839999999999,3.162436,0.92284,0.0,0.0,1.946082,1.476943,3.822333,6.558436,4.4958469999999995,6.441386,2.8217369999999997,2.598916,14.599231999999999,1.9464549999999998,1.9316339999999999,0.894737,2.543725,6.4767220000000005,7.089198999999999,0.88417,7.8495159999999995,1.9152019999999998,3.6365179999999997,1.628228,0.914062,0.842105,2.735147,4.428355,1.9703020000000002,0.831395,0.0,2.673495,0.945255,1.290662,3.8291410000000003,3.437957,0.90625
5.4.2.10,1.775793,3.2112609999999995,0.0,1.24603,0.0,0.81875,1.927302,1.30952,2.635058,0.494505,2.77119,3.7537260000000003,3.14816,1.72669,3.482124,5.426921,3.9889609999999998,2.71727,0.0,10.927411,0.939716,2.9518519999999997,3.446103,2.499606,3.111503,1.02612,1.12534,3.874898000000001,0.0,2.646479,0.884211,1.869925,2.6312059999999997,0.985507,0.0,1.750696,1.714308,0.963855,1.11923,0.838828,2.02757,2.113919,3.576073,1.917399
2.2.1.1,2.609281,6.279609,0.785882,4.708939,3.5661370000000003,1.7873709999999998,6.6299339999999995,1.95793,2.191455,1.9310610000000001,3.352656,0.958763,4.7706610000000005,0.0,0.0,5.697214,5.046771,0.786624,1.849063,12.357121,3.38571,2.580148,3.018816,3.7862810000000002,0.984227,1.8686630000000002,0.846416,4.52358,1.7991899999999998,4.363189,1.268913,1.993768,2.573524,2.57617,1.5956190000000001,3.08879,2.702033,0.83662,10.144514,0.787546,1.620403,7.130557,1.740639,1.879143
2.7.1.156,0.866906,1.1882,0.0,0.859259,1.766667,0.839542,1.977257,0.0,0.0,0.0,0.932584,0.0,0.717172,0.0,0.0,0.97026,2.4354120000000004,0.0,0.858131,3.480212,0.0,1.7862900000000002,0.0,0.0,0.0,0.0,1.06897,0.867384,0.886628,2.049123,0.0,0.897106,0.0,0.0,0.0,0.0,0.0,1.04715,2.607406,0.582418,1.724995,4.227155,0.0,2.739487
1.14.14.10,1.513467,1.790284,0.0,0.836735,0.0,0.93617,4.5742709999999995,1.674242,0.0,2.025691,2.67698,4.012599,4.771616,0.0,2.0816090000000003,6.692204,2.77832,3.7257559999999996,3.6672459999999996,13.336931000000002,0.797654,2.3901299999999996,2.574664,2.709026,2.8363829999999997,2.757269,3.4966399999999997,2.730717,0.846821,3.944355,0.920732,0.0,3.7148329999999996,0.854447,0.832827,0.8867,0.0,0.0,4.343024,1.06618,1.13534,5.319553,3.4420100000000002,0.882943
3.3.1.1,0.0,2.9683849999999996,2.6892560000000003,1.953732,3.708914,2.747633,8.500458,3.6093699999999997,4.944733,2.108964,2.795769,5.133373000000001,3.044597,2.838616,4.762816,3.8365479999999996,1.791414,4.427773999999999,5.711987,13.186072999999999,4.946991,4.8193280000000005,1.677978,3.36118,2.689522,1.6151550000000001,5.817495999999999,8.199782,0.766323,5.609496,3.8027480000000002,2.699211,4.8903620000000005,1.844835,1.598095,3.14109,1.05614,1.79139,3.9508730000000005,0.746324,7.396089000000001,5.278103000000001,4.944896000000001,0.0
6.1.1.1,1.15947,0.0,0.828402,0.0,0.0,3.197834,1.925748,1.670929,0.0,1.8929129999999998,0.860119,0.0,4.608836,0.971014,0.971154,0.0,0.0,2.5488120000000003,0.0,4.3995429999999995,1.682032,0.0,0.0,2.1310789999999997,0.875,1.700118,0.980989,1.5597759999999998,0.0,1.0,0.0,0.0,0.0,0.939297,0.922601,0.809524,0.852071,0.0,0.0,0.930147,4.627616,2.490303,0.0,0.935018
1.1.1.47,0.0,1.903426,0.823077,2.7684349999999998,0.97026,0.0,2.570286,0.0,0.0,0.0,1.9332790000000002,4.315216,5.074287,2.748106,0.909408,1.8267159999999998,4.239464,6.834195,1.05042,6.0107099999999996,2.5900090000000002,3.950197,0.978495,7.270884,4.975012,3.5018830000000003,4.226241,1.820646,1.79178,2.542712,6.468504,0.0,7.121592,2.7933100000000004,1.18182,2.8239099999999997,3.7706510000000004,0.83427,7.648946,0.833948,1.860735,9.704509999999999,3.6483250000000003,3.3339360000000005
5.4.2.7,0.820896,0.0,0.0,0.0,0.0,0.851852,1.996935,0.802292,0.0,0.981061,1.681712,0.0,0.90625,0.806358,0.815331,0.954064,0.0,1.689951,0.71978,0.993103,0.0,0.0,0.0,0.0,0.0,0.844512,0.0,1.03344,0.0,2.985113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16605,0.98513,2.911947,0.0,1.06463
